Scenario;Vehicles;TravelTime;Co;Co2;Hc;Pm;No;Fuel
1;1300.0;841.618461538;11286.2890022;1057688.03339;1697.81864156;147.536983325;6388.24958874;420.433103618
2;1300.0;850.885384615;11362.3149221;1113378.11159;1743.13474202;166.580960657;7087.00346361;442.392995116
3;1300.0;876.451538462;10677.4369735;1078156.15224;1591.90247531;154.793156044;6435.18916824;428.437093795
4;1300.0;842.295384615;10911.809334;1096818.41067;1660.50468789;162.182087034;6908.95972098;435.852107808
5;1300.0;869.015384615;11145.3477727;1128795.54232;1697.60171892;170.671472118;7126.11493186;448.429425926
6;1300.0;818.793846154;10586.1224895;1066775.89807;1601.00603083;152.743889657;6570.45876042;424.119043568
7;1300.0;882.966153846;10857.7681625;1090574.68336;1638.44453312;158.313069533;6659.49645289;433.448595885
8;1300.0;814.727692308;10651.7820106;1086198.256;1652.38857965;165.686081758;6998.77395364;431.591521852
9;1300.0;838.496923077;10576.1798714;1099030.20579;1620.25195434;163.933160562;6965.6229959;436.840786105
10;1300.0;848.270769231;10434.6442683;1162015.22798;1609.76155286;181.175386112;7596.57820194;461.732004433
11;1300.0;847.76;10879.6639608;1172200.54554;1711.00285644;188.100744584;7915.12667394;465.573807197
12;1300.0;853.472307692;11211.7940037;1110229.78143;1717.52158341;165.694281138;7012.23551407;441.111674892
13;1300.0;850.036153846;10995.9206007;1074357.41209;1653.67197456;152.693483248;6535.94081262;427.101239806
14;1300.0;846.817692308;11285.1897781;1103145.95274;1721.53709341;161.059019934;6906.30021729;438.386351398
15;1300.0;844.582307692;11642.8600517;1078638.10392;1760.54529523;152.532801125;6614.21350386;428.741625287
16;1300.0;860.255384615;10400.0571499;1084918.85293;1565.49314892;157.935261474;6649.82577939;431.171577406
17;1300.0;855.079230769;11514.17313;1153861.14828;1799.5696943;180.578740529;7637.26922218;458.308827307
18;1300.0;879.216153846;12159.9374742;1107896.75272;1864.79495908;164.50400367;6981.83491855;440.103970373
19;1300.0;828.794615385;10726.2743281;1041992.88083;1617.30263964;148.069356137;6330.75604185;414.178764055
20;1300.0;845.648461538;10029.3944807;1151217.70549;1573.44497175;184.700121116;7644.56518039;457.265894582
21;1300.0;836.305384615;10932.7473595;1094093.65054;1651.94217114;161.503991887;6838.19710894;434.793754192
22;1300.0;833.246153846;10258.7835074;1092892.0923;1571.42880843;165.920700712;6918.19996987;434.208592859
23;1300.0;854.396923077;11736.6461796;1121301.78849;1803.89235492;167.258493052;7209.41833014;445.554420005
24;1300.0;861.701538462;11580.8831145;1129222.72988;1770.33887163;167.038754008;7190.40970145;448.785133496
25;1300.0;850.282307692;10174.640606;1101863.02945;1536.80868492;163.938965765;6841.69786809;437.831946115
26;1300.0;821.923076923;10677.1621007;1101357.44672;1658.20789812;169.919223358;7120.43038145;437.513778256
27;1300.0;854.236153846;10701.0854271;1054793.55619;1590.49925848;145.848779658;6233.21480016;419.354484102
28;1300.0;825.330769231;10296.7769813;1080011.40763;1548.35628275;156.187557507;6644.85187425;429.339820477
29;1300.0;837.407692308;10584.310012;1045205.61092;1606.45957209;149.416411907;6359.30522774;415.444793197
30;1300.0;815.310769231;10229.2613618;1065350.92046;1557.42196087;156.635164447;6610.79148504;423.406964682
31;1300.0;880.377692308;11716.0529451;1123718.90439;1777.70227399;163.413567745;7035.32425714;446.602416542
32;1300.0;855.852307692;10942.7860149;1089919.87255;1657.65503761;157.557283947;6704.74615166;433.179470052
33;1300.0;847.785384615;10461.8706579;1085181.61444;1591.63146199;159.997506108;6701.7752299;431.253086254
34;1300.0;812.473076923;9960.72362561;1058771.93624;1507.14255054;154.486773013;6559.84292149;420.863502458
35;1300.0;862.773846154;11014.0840011;1102653.98818;1649.14658917;158.727376756;6786.61634687;438.296981025
36;1300.0;843.544615385;10038.6913063;1094705.503;1529.5147089;165.159974203;6852.79628963;434.973817497
37;1300.0;828.53;11286.3993078;1037556.48169;1699.74438765;143.131053768;6232.30986523;412.504968158
38;1300.0;871.685384615;10434.494109;1096778.01956;1574.8525501;160.530159856;6745.05484242;435.887194036
39;1300.0;857.859230769;11867.7846448;1125037.77657;1827.64971119;168.429515094;7203.00413278;446.955781725
40;1300.0;834.379230769;10880.7178644;1067986.21045;1654.98221655;152.274662465;6585.5287577;424.531525301
41;1300.0;850.759230769;10164.7254063;1107788.18783;1558.38067819;165.893870584;6935.64902062;440.224548948
42;1300.0;862.130769231;11410.8959823;1099939.3946;1733.79860841;160.979005465;6863.90898488;437.137630368
43;1300.0;834.560769231;10541.1711294;1122816.08978;1642.9849056;175.718467058;7364.97333589;446.029503236
44;1300.0;862.815384615;11823.7503422;1116147.74797;1801.6695061;164.265031833;7022.12203468;443.51697818
45;1300.0;876.89;10954.8082521;1158452.64573;1696.98162893;181.21848461;7578.55440478;460.186240283
46;1300.0;838.094615385;11182.9221091;1084979.72121;1693.56440898;156.677058742;6736.64909556;431.235114424
47;1300.0;854.988461538;11234.0005542;1077582.59185;1691.49686796;154.108715612;6561.84802518;428.253381715
48;1300.0;832.06;11072.3605115;1074965.13342;1681.34340045;156.299221255;6685.63936805;427.260972461
49;1300.0;854.573076923;10678.2346392;1031242.26332;1571.61655373;137.981421385;5934.56316595;410.093063422
50;1300.0;822.891538462;10811.614693;1080679.27955;1657.91433507;157.721456162;6779.72876025;429.499253499
