Scenario;Vehicles;TravelTime;Co;Co2;Hc;Pm;No;Fuel
1;1200.0;506.1625;6509.45177736;649102.583265;967.457625016;96.07550655;4004.70144523;257.940443609
2;1200.0;550.075;7006.68739941;665050.887488;1037.9441843;97.9201616933;4061.71160465;264.184474577
3;1200.0;507.1425;6555.61391287;636009.931798;965.765854346;92.8515876975;3850.0415561;252.706982924
4;1200.0;504.4625;6475.58223928;643835.613632;956.499982042;94.380620535;3931.09079263;255.828459537
5;1200.0;543.6025;7059.06361386;650299.645421;1029.85994243;93.6949488433;3898.41241449;258.377492832
6;1200.0;494.750833333;6373.4679331;686768.68986;976.690279605;107.267052487;4502.69725595;272.866573489
7;1200.0;514.361666667;6981.8596387;672042.942301;1053.92410948;101.672059519;4270.33625957;266.95977121
8;1200.0;572.1725;7298.62648929;678414.657665;1065.73168187;98.7642610542;4094.29886878;269.509750521
9;1200.0;537.425;6390.34632821;690459.248156;955.002503536;106.032264868;4356.48909999;274.295189405
10;1200.0;519.963333333;6410.42058392;629065.059755;933.940709266;89.0077809858;3693.73953233;250.01858296
11;1200.0;504.395833333;6577.81842758;656855.259938;1002.7391389;100.778111843;4219.19797633;260.930345187
12;1200.0;552.255833333;7093.3277921;710109.343404;1059.09246962;109.532220656;4529.57766668;282.022630391
13;1200.0;519.288333333;6427.96020359;672528.334144;948.994474448;100.185883487;4162.77726239;267.231886298
14;1200.0;546.0275;6817.25240745;662837.239391;990.519502272;95.3960912183;3957.53524087;263.374896283
15;1200.0;546.909166667;7415.41479775;673346.832;1091.2844851;98.2363541233;4112.67037935;267.51372018
16;1200.0;528.538333333;7368.14034197;657742.824682;1077.75558874;91.2788269908;3911.85213067;261.466315493
17;1200.0;526.560833333;6923.08347088;671429.222177;1028.37143082;97.4260368658;4174.58157319;266.881287435
18;1200.0;542.044166667;7179.83326754;699731.327981;1083.43152698;106.231761389;4455.97708286;277.996506023
19;1200.0;501.0475;6509.89472659;644882.82433;962.389988622;91.8203871408;3916.54765787;256.370860227
20;1200.0;518.278333333;6367.88205756;668189.045763;937.566965671;99.8264839733;4131.83350444;265.525949042
21;1200.0;512.83;6783.24378343;664070.073421;1009.50894025;96.8657673267;4119.29217783;263.939733952
22;1200.0;520.025833333;7191.55845899;681469.914113;1082.82592046;102.436100068;4347.08262706;270.713604582
23;1200.0;493.356666667;6489.492679;646788.846107;966.854050152;94.7927202775;4016.40609169;257.061407981
24;1200.0;510.573333333;6767.25556738;628220.302761;987.098696096;86.8454981017;3694.96224185;249.758951228
25;1200.0;521.580833333;6601.52946421;688195.049165;999.854833792;106.327349104;4426.87684811;273.377452509
26;1200.0;533.898333333;7585.93962137;685987.802732;1135.68347685;102.168831648;4346.14058932;272.504546216
27;1200.0;496.715;6146.61625563;653447.779709;919.233466078;97.0342762433;4066.94908201;259.693959929
28;1200.0;503.165;7533.01009122;651417.409205;1133.82716383;95.0301860733;4076.00103125;258.829713105
29;1200.0;531.536666667;7572.55508936;630149.118626;1115.67895085;87.3397121967;3694.61153689;250.353812373
30;1200.0;504.31;6213.51692859;656106.130232;937.655474322;98.4118023008;4112.60159254;260.764461979
31;1200.0;520.859166667;6594.96999286;672717.934659;979.591503279;100.153796638;4185.25310882;267.342671659
32;1200.0;499.540833333;6731.01360516;652141.619471;1012.12005542;97.0584666642;4124.02953368;259.118495534
33;1200.0;520.576666667;7162.032168;636125.194325;1042.21056228;90.446549055;3792.18451546;252.769124768
34;1200.0;518.455;6933.38822415;675954.025714;1035.7215623;100.085781184;4246.56191254;268.623552743
35;1200.0;514.5775;6470.64834361;659067.332614;968.231317787;97.0306875083;4053.73486593;261.897818587
36;1200.0;492.9875;6677.74417032;658093.623748;1013.40806212;99.3589226617;4225.81943055;261.516834415
37;1200.0;525.001666667;6838.2855696;665392.227167;1022.99367726;99.56665871;4140.72958018;264.325161217
38;1200.0;537.000833333;7198.98798722;687831.162675;1072.45801271;103.327190881;4316.57357077;273.250914698
39;1200.0;485.809166667;6111.22217489;632590.802935;902.018287549;90.7818909458;3836.33166851;251.484770217
40;1200.0;538.74;7288.33507689;673863.201177;1075.96081685;96.4248747892;4109.193843;267.793216933
41;1200.0;552.36;6945.34372544;668322.079747;1013.40913387;97.3758138167;4027.80574712;265.503148422
42;1200.0;482.14;6309.47159757;651269.054325;953.61314183;97.68918178;4127.83238754;258.865604148
43;1200.0;512.904166667;7037.06497889;671410.141969;1067.79071942;101.486871621;4292.71574847;266.75633502
44;1200.0;507.396666667;6919.97629609;651014.753647;1026.60269355;93.5435257417;4005.85683833;258.756906413
45;1200.0;536.764166667;7209.38716905;681011.249473;1077.14006694;101.11027218;4247.67606456;270.572192923
46;1200.0;552.213333333;7349.79545911;683646.715999;1092.00407712;99.6781117925;4228.14078419;271.646657167
47;1200.0;511.383333333;6502.89009162;641357.894965;959.134282339;92.8909455592;3873.50972752;254.873361812
48;1200.0;496.871666667;7010.36171519;651016.391153;1043.33374523;95.5581918608;4074.57164681;258.713018781
49;1200.0;525.755;6676.23355389;649108.223689;969.758744912;93.136804695;3876.11237053;257.950989605
50;1200.0;516.224166667;6610.36887222;670769.233029;982.851691571;99.9743656842;4193.34607491;266.553255011
