Scenario;Vehicles;TravelTime;Co;Co2;Hc;Pm;No;Fuel
1;1200.0;469.918333333;6128.59271146;655016.582946;921.749716862;94.1002995917;4059.07407211;260.491784333
2;1200.0;472.468333333;6237.94452493;638127.552428;935.995237124;90.0682093708;3867.94327867;253.741240774
3;1200.0;487.475;6432.99143068;654905.753384;960.41250065;91.7345935058;3959.93951741;260.438523056
4;1200.0;508.918333333;6591.87075581;663492.504066;977.317722716;92.9972001083;3972.3868859;263.790703016
5;1200.0;485.604166667;6403.57145483;663913.497325;963.001331424;95.2175589925;4104.8688344;263.994899862
6;1200.0;483.864166667;6274.92949405;713283.384453;971.815085414;110.029495962;4699.59401135;283.537390842
7;1200.0;503.999166667;6881.70575477;704258.720716;1050.24061164;105.983481823;4531.94847171;279.888767082
8;1200.0;500.090833333;6396.26280679;664637.159148;955.623464516;93.5050854808;4033.52737122;264.315635225
9;1200.0;504.881666667;6236.48522275;695705.012562;941.857523741;103.492725422;4381.77948018;276.596905366
10;1200.0;489.955833333;6163.03359861;651697.133094;910.969742665;91.1061794783;3894.66760778;259.175690431
11;1200.0;488.685833333;6585.24377583;686879.177241;1008.90194313;101.444670153;4394.52473404;273.100048801
12;1200.0;481.5625;6647.10564591;686661.290858;1006.13102924;100.332740942;4363.42489376;273.029680992
13;1200.0;479.511666667;5960.84698799;672603.153916;887.434680639;97.3391551083;4159.5082913;267.479870854
14;1200.0;498.6275;6229.7705004;658786.143927;921.216331652;92.4892940592;3933.9152512;261.989768739
15;1200.0;480.044166667;6575.28535916;645442.075283;979.792930769;88.5020615425;3880.16355;256.716891342
16;1200.0;496.1375;6990.29933239;674663.774076;1047.0684199;95.5011943833;4154.43749272;268.255647564
17;1200.0;520.811666667;6886.15358101;682138.417186;1026.67641549;97.5627360892;4182.72216905;271.183119235
18;1200.0;502.734166667;6705.20283958;690836.365565;1008.329327;101.805939619;4352.80791076;274.651799657
19;1200.0;507.735833333;6648.92471072;680637.93469;992.80362515;95.7328783042;4146.58389194;270.668229574
20;1200.0;511.735;6197.18524337;709640.348628;929.179589407;106.26013943;4467.62137727;282.127265554
21;1200.0;495.666666667;6667.97448262;675744.78979;1000.24264197;95.4523164175;4136.52778555;268.699536415
22;1200.0;499.0;7087.38267183;684587.970622;1076.48030093;99.0776887992;4338.6563181;272.145017116
23;1200.0;494.711666667;6484.05827659;701297.793953;979.883410242;104.932083413;4487.05991358;278.798909058
24;1200.0;471.195;6497.32867788;634940.224252;966.794151604;85.4617456458;3782.63450376;252.603357753
25;1200.0;483.969166667;6323.6668687;693105.752561;963.854178692;103.397947861;4445.58959592;275.563487727
26;1200.0;494.078333333;7135.54799503;696246.258784;1091.30693485;102.50091971;4481.91767798;276.761692013
27;1200.0;498.854166667;6414.36308779;676263.21236;968.633007876;99.4279184592;4206.60817305;268.807084295
28;1200.0;502.791666667;7420.35179092;680724.545937;1129.61952381;97.0853710133;4286.50037851;270.636344983
29;1200.0;507.266666667;7138.55941809;658570.114284;1071.10338286;90.1453926625;3947.47256346;261.852172453
30;1200.0;496.270833333;6192.72883813;665981.185837;935.212418852;96.2669364033;4097.46182979;264.803655111
31;1200.0;501.15;6273.58958381;689290.408996;937.099892768;100.2170293;4276.40330678;274.104556768
32;1200.0;499.606666667;6721.6948199;692162.444607;1020.47750396;101.147957666;4370.01314819;275.170468995
33;1200.0;481.275833333;6567.4597756;662349.15251;983.411167112;93.3611370308;4079.78747044;263.402955397
34;1200.0;497.256666667;6708.71321361;689741.594732;1011.73656859;100.026449446;4335.07557713;274.224258114
35;1200.0;499.178333333;6467.54776888;684001.790495;971.137983183;100.265017624;4281.26693999;271.93869008
36;1200.0;480.4425;6694.37522229;663485.882734;1016.31836875;96.4533560342;4195.95982872;263.816867448
37;1200.0;479.6275;6388.37430729;666157.975108;961.555759631;94.826247575;4123.43120025;264.931080771
38;1200.0;486.030833333;6708.79663834;678086.404796;1015.1267939;98.4336259208;4269.24054998;269.622755171
39;1200.0;484.625833333;6314.45375177;648412.212854;937.559568997;90.9847008742;3906.51729816;257.828459866
40;1200.0;473.044166667;6365.21178395;648313.748332;951.7973332;90.7311336133;3960.89172467;257.844688523
41;1200.0;494.730833333;6513.23120698;661472.361491;961.001774547;90.4062371725;3931.82467012;263.097519322
42;1200.0;476.846666667;6107.85799979;666163.085931;931.714455468;98.6213115375;4215.85387896;264.873364553
43;1200.0;479.4175;6636.09452233;667521.207937;1014.32057109;98.200124585;4235.92968274;265.366603005
44;1200.0;478.781666667;6516.20541618;653659.221641;979.539708902;93.0711733742;4019.83870806;259.921146943
45;1200.0;488.8425;6543.73755286;681422.392021;993.96767068;99.444341065;4298.81995181;270.965069384
46;1200.0;480.975;6742.89690144;668531.911577;1021.15711675;95.31484572;4179.01414843;265.837939722
47;1200.0;483.0875;6293.20358081;646960.856666;927.935648688;88.3936296633;3833.15568112;257.341457545
48;1200.0;488.6;6703.83877126;678576.193043;1017.02689017;99.4807120067;4302.01502388;269.777320518
49;1200.0;490.7625;6357.60290539;648745.97318;928.318201112;88.5988732125;3809.24905766;258.039475638
50;1200.0;492.439166667;6443.26814138;677524.168065;971.013344339;97.9552967475;4228.60674482;269.411424979
