Scenario;Vehicles;TravelTime;Co;Co2;Hc;Pm;No;Fuel
1;1200.0;836.343333333;10102.416284;916641.478067;1454.42171752;143.616727145;5610.65431893;363.648420624
2;1200.0;797.278333333;10948.4408481;896920.22055;1557.01550865;132.968486142;5403.30752201;356.024125601
3;1200.0;809.228333333;9899.25719115;851142.307407;1397.60991745;125.444190077;4954.15934731;337.809604434
4;1200.0;815.279166667;10319.6978285;899955.693479;1498.86249818;142.28360524;5552.01084368;356.938296611
5;1200.0;816.745;10305.7383109;905962.811673;1470.18557265;140.072524162;5529.50996393;359.485764498
6;1200.0;816.475;10355.0524162;954720.727501;1523.03461571;156.649284778;6196.60637179;378.726396277
7;1200.0;830.3575;10585.5546617;926457.493274;1533.61719915;147.433624591;5779.52879184;367.465293689
8;1200.0;836.764166667;10003.6997759;907392.997896;1435.097466;141.512325474;5512.85254256;359.938631279
9;1200.0;788.735;9555.87905831;908863.135825;1399.47665363;147.65384084;5778.09689221;360.508063679
10;1200.0;829.075833333;9961.03073769;883887.351025;1396.85909544;132.46054109;5159.61683553;350.79708503
11;1200.0;809.676666667;10195.3964257;916323.356922;1491.21605821;146.90454254;5778.48381514;363.499464292
12;1200.0;805.78;10250.0648117;935124.053903;1484.76329278;147.783561034;5890.77597639;371.038582452
13;1200.0;810.936666667;9968.63120458;920083.693374;1422.06748221;144.236039202;5658.67541657;365.076126873
14;1200.0;835.21;10004.1719701;921061.202472;1442.03044274;147.18432177;5677.86264006;365.296986837
15;1200.0;846.4775;11799.0129914;912005.465283;1675.98957941;138.626411741;5544.69483463;361.880453683
16;1200.0;768.658333333;10542.1165598;858448.295239;1505.35421117;128.112149888;5163.07988666;340.707864547
17;1200.0;830.548333333;10092.4348822;933208.319533;1467.68183436;149.285159082;5872.47440386;370.189797815
18;1200.0;825.295;11112.3011419;943690.774408;1616.29101056;149.235929352;5996.5677296;374.465019962
19;1200.0;803.105833333;9990.5239613;897193.391106;1424.18445732;136.760367972;5421.78707428;356.082309749
20;1200.0;819.213333333;9914.94676983;925484.003229;1442.3377924;151.495351615;5846.15569726;366.967631613
21;1200.0;828.09;10519.9550615;923288.805084;1518.43062623;145.433825953;5728.65464839;366.25246623
22;1200.0;805.923333333;11001.5114906;900476.980891;1567.39025526;133.892625342;5468.6064424;357.46390723
23;1200.0;841.406666667;10884.683892;941211.604921;1546.00865332;144.032697842;5775.49407578;373.545713022
24;1200.0;812.9125;10536.2115652;874144.646438;1507.88783749;132.93171882;5223.11793104;346.82155039
25;1200.0;800.2025;9984.92009442;930634.677067;1471.85786485;152.711210846;5997.40196748;369.095311326
26;1200.0;827.13;11373.5767419;919471.860675;1650.31637472;143.396187489;5734.34005655;364.745362278
27;1200.0;794.520833333;9818.39327026;912053.904011;1412.28632784;140.730219913;5612.34588733;362.001422065
28;1200.0;786.905;11355.1105558;886632.627384;1633.43327732;132.54641496;5425.60812331;351.905440724
29;1200.0;841.894166667;10499.9532853;889909.653144;1494.25656061;135.957544629;5287.3807099;353.024401239
30;1200.0;824.810833333;9885.91158589;894522.461551;1409.5990133;135.348050634;5385.42708709;355.073221057
31;1200.0;814.258333333;10882.1424269;895982.520665;1549.97234485;133.173447494;5412.34961373;355.701558568
32;1200.0;808.526666667;10145.8269411;914243.58515;1475.59035317;144.287991978;5716.22299169;362.704291158
33;1200.0;779.749166667;10047.6208836;860422.811293;1428.07662172;127.153326178;5119.25491386;341.550498213
34;1200.0;806.129166667;11054.592784;910850.392898;1584.74519994;138.853765437;5627.81564059;361.503000093
35;1200.0;831.630833333;10398.3975874;925511.197017;1493.39356934;144.59890909;5689.94266025;367.230834489
36;1200.0;811.090833333;11063.3004498;899593.077979;1589.54332632;137.005160805;5508.69164536;357.024438461
37;1200.0;876.221666667;10992.4808005;938511.766397;1572.96778278;148.486005603;5769.73310613;372.20434271
38;1200.0;819.031666667;11079.883591;929396.459495;1608.54356835;146.521154362;5825.37228043;368.685403712
39;1200.0;805.581666667;10014.5407717;888270.461285;1427.42694258;134.468838583;5323.72066622;352.534395954
40;1200.0;826.298333333;10554.2503407;915348.727231;1520.84675862;143.073525464;5654.63572875;363.117024056
41;1200.0;780.174166667;9574.8215153;863221.618509;1381.72834531;133.140049511;5235.4688966;342.487634641
42;1200.0;843.420833333;9782.52166234;926538.757395;1439.40143113;152.354852739;5863.46101089;367.387516986
43;1200.0;826.6875;10860.7962335;902233.015337;1564.67752004;139.213314771;5548.0960335;357.978890054
44;1200.0;815.500833333;10809.8955568;896776.15844;1554.56684527;136.998507685;5475.08299151;355.853242171
45;1200.0;826.373333333;10706.3649447;896273.827498;1530.98371832;136.060397183;5404.69261832;355.664717107
46;1200.0;801.6475;10631.8952299;901438.99516;1544.17029725;138.206667602;5578.03519781;357.715516757
47;1200.0;814.039166667;10574.9122077;883057.89405;1498.92823365;131.678792408;5227.29802995;350.490205318
48;1200.0;828.03;11098.3571568;923915.55877;1581.13064491;137.219651822;5612.37066692;366.810179432
49;1200.0;843.310833333;10259.9987556;910191.450858;1474.01928609;144.379362005;5530.60462899;360.862110328
50;1200.0;810.0525;10216.8822275;914687.051154;1492.99201264;146.859028012;5773.90512508;362.802449877
