Scenario;Vehicles;TravelTime;Co;Co2;Hc;Pm;No;Fuel
1;1200.0;782.566666667;9826.76300077;900407.718586;1410.94035988;135.845713557;5464.25913187;357.483067232
2;1200.0;793.9825;11205.2077565;910953.013794;1581.81396997;132.353722237;5463.63774747;361.772341103
3;1200.0;779.910833333;9559.14102595;872963.181956;1361.40489249;130.361309148;5186.55400509;346.54381006
4;1200.0;769.551666667;10063.5635116;884862.887007;1475.83313772;138.290980448;5515.5827714;351.127625168
5;1200.0;770.060833333;9940.42659666;909783.382948;1432.7309834;138.861993781;5619.80494248;361.228345224
6;1200.0;821.154166667;10287.3518386;967630.79068;1527.66568767;162.801021919;6332.37482798;383.673002009
7;1200.0;777.995833333;9939.09554258;927800.329935;1461.82591439;149.147243777;5934.96389244;368.117603816
8;1200.0;772.185833333;9609.70334326;870502.947512;1364.56508283;127.178644964;5142.71319736;345.703999699
9;1200.0;768.830833333;9591.26777535;926410.149781;1417.8280956;151.357779063;5983.03000145;367.531640582
10;1200.0;764.94;9284.53257501;875867.645841;1323.91943998;130.65444972;5231.78853664;347.775370056
11;1200.0;761.345;9960.51095505;917654.390933;1465.67398981;145.604081188;5851.10949465;364.188969519
12;1200.0;766.891666667;9899.60615517;932113.796242;1438.02344208;146.348688052;5921.65342078;370.002225022
13;1200.0;787.0375;9444.99675338;895074.812622;1349.67415565;137.676613372;5397.61551937;355.230540282
14;1200.0;817.275833333;9897.24589561;911000.795755;1404.40330602;136.917478483;5428.24449046;361.632893175
15;1200.0;771.166666667;10431.1551018;877087.756971;1501.50413228;131.602835121;5326.10204921;348.152734174
16;1200.0;772.409166667;10466.4578442;888175.530801;1502.00391105;134.133331748;5398.51061168;352.523384081
17;1200.0;803.3575;9910.95231049;946753.131461;1466.38288351;156.460002933;6127.7422535;375.481764295
18;1200.0;775.095;10313.7926891;900366.144252;1495.6170916;137.346123132;5599.0337948;357.455360296
19;1200.0;779.8925;10213.0308215;905020.763945;1467.76747983;138.848059408;5565.36240885;359.201047948
20;1200.0;776.865;9871.58770535;924154.651196;1438.27446114;147.29543426;5844.7944584;366.702272857
21;1200.0;774.614166667;10117.2415034;900252.976077;1470.32484446;139.555144676;5569.22049933;357.271831744
22;1200.0;797.284166667;11137.62185;929704.326001;1597.81402749;141.63686873;5764.89461033;369.042671889
23;1200.0;781.009166667;10363.0667082;923011.837751;1498.68879861;143.429912493;5767.54137302;366.332403207
24;1200.0;802.424166667;10447.3218878;894798.121773;1488.97497388;132.055065587;5314.87968215;355.248662817
25;1200.0;773.71;10306.5200368;930620.278082;1512.61248073;149.09667325;5994.33210661;369.290426617
26;1200.0;778.943333333;10944.6014476;911367.574029;1599.57277607;139.931975451;5715.47882182;361.698335785
27;1200.0;786.589166667;9676.56253604;917384.886446;1406.35679718;143.930668009;5726.53929011;364.063697848
28;1200.0;784.055833333;11511.9517723;899443.175627;1646.1778215;131.765977767;5450.11953237;357.124852172
29;1200.0;757.676666667;9667.28063075;867907.83762;1391.05266678;131.170496514;5213.24882166;344.485136769
30;1200.0;776.913333333;9486.7310595;896105.080712;1374.96841005;137.745237745;5494.62642352;355.70856302
31;1200.0;779.885;10745.7139977;883556.179376;1526.65038286;129.114179476;5287.04475361;350.884833445
32;1200.0;792.094166667;10543.6837086;923454.035468;1542.83781713;145.92277797;5835.21508086;366.36220355
33;1200.0;796.35;10757.1328893;911553.588567;1542.80027317;138.172566011;5559.40325733;361.806780038
34;1200.0;781.535;10604.5224782;921053.777722;1534.40655007;142.369664326;5748.44826649;365.571166777
35;1200.0;812.665833333;10421.2411504;908100.464307;1472.43449554;135.223248647;5410.38553153;360.554538543
36;1200.0;778.3175;10841.3112702;896128.106665;1559.92641958;133.380160217;5447.79708388;355.811926657
37;1200.0;778.21;10046.4852305;901471.117691;1453.50802758;138.308166485;5554.77410877;357.835188308
38;1200.0;796.108333333;10663.9284392;921633.713643;1548.92846291;143.678388883;5713.29737536;365.676541813
39;1200.0;805.168333333;10772.3564663;898112.862762;1526.81136071;134.274600341;5326.97659406;356.440459433
40;1200.0;814.599166667;10791.0105824;922437.528913;1560.84768578;142.859290677;5709.0160115;366.002785456
41;1200.0;751.925833333;9449.8674144;867629.310812;1362.65943654;130.588245198;5250.12209668;344.449172627
42;1200.0;786.200833333;9450.27064077;918640.329725;1403.91979262;149.202329849;5857.15039086;364.408427427
43;1200.0;772.708333333;10292.8490258;904405.016979;1501.16633571;140.08013255;5659.12886622;358.984140023
44;1200.0;786.634166667;10624.4132853;892778.87247;1515.96842054;130.544512218;5344.78836387;354.512390244
45;1200.0;770.598333333;10195.5187895;880722.890836;1475.03255189;132.198357652;5398.50504173;349.682970955
46;1200.0;800.620833333;10791.2738355;915184.833402;1566.86757376;139.252499575;5646.70105778;363.214387305
47;1200.0;768.133333333;9882.22053005;864335.681537;1408.1369963;128.01756051;5093.61975503;343.112833365
48;1200.0;784.2675;10623.5838426;916739.767363;1542.20598941;140.458915578;5686.42168652;363.864420599
49;1200.0;774.163333333;9461.94150124;893760.412677;1361.02071948;138.532704711;5446.68636906;354.659950543
50;1200.0;790.259166667;10373.6139468;920578.491478;1521.46808222;147.259317576;5847.39317404;365.198941199
