Scenario;Vehicles;TravelTime;Co;Co2;Hc;Pm;No;Fuel
1;1400.0;965.778571429;12052.46397;948995.544814;1721.25411764;152.752916971;5760.12336821;376.095361472
2;1400.0;997.828571429;12329.450024;988641.496622;1779.14918904;163.182623494;6161.34371634;391.730121586
3;1400.0;1035.73714286;13797.7160847;1019120.90491;1975.27431571;167.64908795;6334.47285509;403.770774496
4;1400.0;981.826428571;11822.9104513;904928.09699;1672.55074466;137.788233491;5195.06790279;358.705707784
5;1400.0;980.44;11591.4366747;962159.350085;1681.10130917;158.036341106;5923.86305983;381.219884371
6;1400.0;974.125714286;12338.7118222;956745.787837;1767.15646608;151.708253405;5836.71154867;379.258547776
7;1400.0;981.862857143;11970.6566614;995920.196709;1753.38963243;174.235665379;6401.94321048;394.22709274
8;1400.0;981.344285714;12220.3238892;939992.563382;1719.37870901;142.751313876;5491.07507348;372.755134823
9;1400.0;969.698571429;12338.9128316;943785.965238;1772.03322549;154.009665894;5752.21799905;373.872519395
10;1400.0;994.995;12656.9337567;1006233.33284;1858.99081075;172.624650764;6512.80034948;398.536371643
11;1400.0;1008.46857143;12738.9029987;985291.777519;1830.42160182;160.492198136;6065.83054855;390.426821781
12;1400.0;1007.43785714;12812.1429009;973617.529297;1860.39160332;162.88144154;6075.44535897;385.567916024
13;1400.0;1034.91571429;12361.7842896;1039836.49833;1831.92173852;187.072057374;6822.44819133;411.484436104
14;1400.0;947.640714286;11732.8771116;942901.643957;1676.38314491;148.82311759;5695.45946983;373.827833033
15;1400.0;1001.47857143;13527.3794867;976028.743209;1933.53043326;155.267377621;5970.11580504;386.836928462
16;1400.0;997.633571429;12557.2717675;967652.924042;1802.58117268;157.312295494;5862.90254756;383.264331584
17;1400.0;984.703571429;12925.1794796;957083.097677;1860.14495718;156.938670811;5852.86326168;379.087917571
18;1400.0;1031.05428571;12426.4216736;1029032.08856;1824.64285895;181.699736755;6625.12317605;407.26701718
19;1400.0;909.077857143;10461.8316201;917651.614666;1511.68800265;149.729903105;5629.36944695;363.709189294
20;1400.0;946.480714286;11873.0948421;908209.021474;1687.45753971;139.059286666;5318.42028492;360.076692294
21;1400.0;1008.56285714;12913.2140571;958823.329224;1820.35015857;147.071557448;5652.12277754;380.168537084
22;1400.0;984.905;12441.8695378;998497.651488;1863.08112392;178.089026104;6583.64600244;395.177491155
23;1400.0;1000.36785714;11757.7059707;954894.983043;1668.9028956;151.260964365;5691.70706924;378.503931919
24;1400.0;968.411428571;12351.0100975;971412.554512;1766.13540872;157.81359541;6006.16089291;385.065103737
25;1400.0;1004.71714286;12364.9925676;1020268.41159;1798.43857974;172.825170734;6500.13162768;404.174436175
26;1400.0;983.5;11679.2378306;946285.61931;1667.68978725;152.22629657;5695.66667506;374.972416076
27;1400.0;983.319285714;12321.8842097;969205.812486;1771.76202961;159.183566749;5942.7933859;383.935404079
28;1400.0;977.159285714;11350.0352836;918963.741821;1568.2257759;134.298397597;5195.25656951;364.573665704
29;1400.0;996.774285714;12587.879169;1011319.9703;1867.94512537;179.608540765;6618.58026923;400.237390679
30;1400.0;958.856428571;12636.5731502;919685.112654;1784.69138652;137.482054356;5383.72741832;364.809210614
31;1400.0;978.834285714;12700.674957;965536.197399;1815.28783128;152.262093017;5857.08227648;382.724208417
32;1400.0;968.742142857;11942.0430374;967161.065925;1742.56694021;164.064596074;6087.45393358;383.014705185
33;1400.0;982.962857143;11815.7377577;969229.789041;1708.22360972;160.133712796;6019.08171002;384.046395074
34;1400.0;1011.62071429;12409.3242677;988660.759312;1805.46243999;167.836507601;6193.95176716;391.502099889
35;1400.0;996.015714286;12587.8780595;990461.375322;1800.56984342;161.70891378;6111.55484436;392.491859299
36;1400.0;1030.5;13049.9640426;1042170.59427;1936.80608158;187.568262166;6897.77328689;412.426821214
37;1400.0;911.015;11322.472042;914457.729275;1630.62296587;148.687278381;5585.97628042;362.368319404
38;1400.0;978.069285714;11763.03704;949941.750221;1717.66780651;159.4498982;5928.72159415;376.213008861
39;1400.0;955.262857143;12397.8063357;969019.36257;1809.83149494;163.654810322;6163.28261149;383.791894066
40;1400.0;989.143571429;11802.1722953;972530.528917;1700.68416359;160.072301623;5987.96533882;385.352588719
41;1400.0;960.955714286;11352.992335;970976.900973;1637.99687569;163.343827911;6072.78741782;384.653015669
42;1400.0;1033.52714286;11944.4450736;1006049.49428;1716.25011739;171.926406843;6254.70676894;398.353693579
43;1400.0;993.168571429;12529.1790245;1008002.04954;1849.40395773;176.568020461;6574.05000057;399.105592889
44;1400.0;1003.48285714;11886.8476681;1014845.00157;1737.88832093;177.391354741;6545.0100958;401.866204025
45;1400.0;1006.44642857;12672.634064;969000.460983;1820.1146957;158.372952338;5887.36115101;383.78427558
46;1400.0;1041.93142857;13296.8278016;999563.182228;1902.9448857;161.123169629;6133.98748419;396.135076319
47;1400.0;952.445714286;11678.4851297;943640.034644;1691.80357912;156.452176387;5835.69313707;373.827085488
48;1400.0;967.125714286;12296.4229691;958336.907603;1736.46601444;149.649637987;5735.87148901;379.972136666
49;1400.0;947.521428571;11286.2165724;892927.20408;1587.00440105;133.364060029;5115.07613299;354.184567276
50;1400.0;936.851428571;11925.5206576;932899.78921;1707.42094273;146.760223233;5625.19851244;369.779722032
