Scenario;Vehicles;TravelTime;Co;Co2;Hc;Pm;No;Fuel
1;1400.0;869.887142857;10721.7198929;937931.099863;1566.74634583;143.454101904;5682.72739768;372.232911179
2;1400.0;852.975714286;10764.9699732;968744.717187;1598.72596525;156.211596906;6180.67901005;384.331421821
3;1400.0;832.726428571;11091.9678119;968453.227248;1656.00865517;157.614214589;6286.30877584;384.183590361
4;1400.0;834.934285714;10451.2281168;857260.641235;1498.1325407;120.630638872;4827.9792416;340.389302774
5;1400.0;821.433571429;9555.47414974;926771.352016;1423.40754212;148.989594351;5819.36778601;367.675912191
6;1400.0;836.013571429;11154.4413112;944914.281693;1635.90397614;144.51190256;5894.48712913;375.090612906
7;1400.0;853.989285714;10534.7423094;960295.699152;1533.21382958;152.07407138;5945.78818759;380.991178912
8;1400.0;855.702857143;11041.7718088;921399.746955;1580.55413907;134.281371678;5451.03396898;365.873782544
9;1400.0;862.532142857;11016.8226209;933452.652066;1604.08114279;143.543197404;5656.92862646;370.379735806
10;1400.0;839.488571429;10707.8078774;967869.299764;1607.28265045;156.198691383;6240.2893036;384.012471665
11;1400.0;898.245714286;11453.2959064;974828.725852;1678.51383515;154.832240996;6074.08085875;386.687592469
12;1400.0;859.752857143;10908.1459622;935960.103298;1606.23717466;144.854664147;5755.2578021;371.378590209
13;1400.0;835.168571429;10206.1312336;973108.729011;1545.58209495;162.972686164;6415.60690699;385.985973264
14;1400.0;833.958571429;10453.5138395;930040.883324;1523.10633506;140.057090861;5656.68365395;369.274132327
15;1400.0;852.297142857;11846.0681745;933294.908634;1728.7855095;141.049794247;5736.47483139;370.450472661
16;1400.0;863.335714286;11179.923527;945811.927387;1631.96600604;145.066549701;5767.64145477;375.291668399
17;1400.0;874.369285714;11950.7416694;930727.085673;1728.96840521;140.84619924;5605.79870493;369.311992685
18;1400.0;840.628571429;10532.9930112;950112.444712;1572.93281216;155.559439429;6045.28648826;376.763272914
19;1400.0;853.667857143;9582.63275641;935720.490466;1400.37583039;145.306853649;5730.56077156;371.368960804
20;1400.0;857.658571429;11140.3634854;922610.155781;1609.83351262;137.585139428;5520.68639368;366.234209917
21;1400.0;832.661428571;10886.9091117;910336.952129;1576.04817752;135.236302596;5487.46051864;361.431904645
22;1400.0;837.844285714;11103.3259393;961748.033647;1665.11330297;154.63929038;6188.29815306;381.553952665
23;1400.0;870.817857143;10411.881079;941303.032908;1501.88560267;142.727592024;5673.21511736;373.674895512
24;1400.0;829.125714286;10257.9227538;938290.714367;1521.4134281;149.330721875;5918.17266774;372.319286674
25;1400.0;812.916428571;10364.7437306;956852.943542;1540.6419789;152.173692602;6119.45077605;379.797311657
26;1400.0;862.111428571;10523.21968;914948.73675;1505.60124037;131.572085834;5346.15821925;363.358222202
27;1400.0;845.707142857;10364.7407828;924529.357755;1511.63464348;143.261095571;5635.29480208;366.840734216
28;1400.0;809.48;9930.1527207;884228.94915;1436.83350988;130.22091711;5219.68991588;351.044860869
29;1400.0;842.601428571;11236.5306841;951112.709718;1682.8658848;153.402517617;6083.61963334;377.213035198
30;1400.0;829.705714286;11385.3602714;894001.947551;1656.525276;129.671644004;5313.0737659;354.964881587
31;1400.0;854.008571429;11703.772449;963375.984717;1718.7563261;148.220737079;6035.64432674;382.338674879
32;1400.0;879.186428571;10596.414244;986731.790227;1594.07203149;166.228286228;6378.05498107;391.126626615
33;1400.0;810.016428571;10270.7096197;912276.761716;1502.28996877;138.717796379;5571.54595697;362.157538788
34;1400.0;856.838571429;10258.6787162;956655.529432;1525.64638958;152.803578373;6066.29085309;379.616338696
35;1400.0;819.04;10402.484379;927746.304624;1528.44094361;143.6691805;5777.83362357;368.254611391
36;1400.0;850.155714286;10949.3195676;968534.355357;1625.37216627;156.291374721;6197.39991197;384.255524654
37;1400.0;863.291428571;10668.7807996;933575.036415;1544.9018848;142.645368299;5633.46069022;370.478518839
38;1400.0;822.342142857;10113.2601076;901233.854647;1488.45142185;138.757616894;5536.67148118;357.710612626
39;1400.0;813.779285714;10741.5969622;939895.270432;1595.9502974;146.009927445;5935.30188666;373.058722849
40;1400.0;849.827142857;9964.42553385;917296.397863;1442.9526457;140.881026716;5523.87337916;364.035168227
41;1400.0;857.766428571;10714.0799506;955058.469747;1536.8602351;144.639354398;5796.22088765;379.170771489
42;1400.0;841.110714286;10307.1595936;953106.028612;1503.50101461;149.274968365;5923.09703673;378.314193474
43;1400.0;859.4;10600.6704309;983261.847953;1589.89089732;160.634875959;6349.59804208;390.043158826
44;1400.0;826.354285714;9756.68820834;950120.112927;1463.6397725;155.847881698;6097.01987219;376.906864262
45;1400.0;846.492142857;11208.6416913;937735.559523;1628.74453666;142.135990758;5710.00285015;372.20100351
46;1400.0;875.095;11482.8848412;981090.435916;1703.02042044;155.988374761;6228.29116359;389.271387074
47;1400.0;831.232142857;10336.273229;906554.761828;1525.66327872;141.544355719;5573.54355906;359.694043258
48;1400.0;824.461428571;10432.6106165;905838.07986;1498.03923496;133.746954737;5383.6844876;359.685961723
49;1400.0;830.123571429;10200.4025336;888962.589203;1461.29668419;129.050226601;5155.65639204;353.006749477
50;1400.0;816.124285714;10596.0331838;917538.961882;1544.42857431;139.497604039;5598.84412718;364.181369111
